start_node,relations,end_node
决策行为,isTypeOf,认知活动
有限理性理论,proposedBy,西蒙
后悔决策理论,relatedTo,未选择项预想
神经决策学,basedOn,认知神经科学
神经决策学,hasComponent,神经机制研究
神经决策学,hasComponent,社会信念研究
双系统模型,proposedBy,埃文斯
双系统模型,hasComponent,启发式系统
双系统模型,hasComponent,分析系统
最后通牒博弈,relatedTo,不公正感
前脑岛,activatedBy,不公正待遇
前扣带皮层,activatedBy,拒绝行为
ERP,usedIn,决策神经机制研究
近红外脑成像,usedIn,决策神经机制研究
确定性,hasBrainRegion,特定脑区
模糊性,hasBrainRegion,特定脑区
偏好效用,hasBrainRegion,特定脑区
公平信念,studiedBy,神经决策学
信任信念,studiedBy,神经决策学
文化因素,influences,决策过程
环境因素,influences,决策过程
神经决策学,integratedWith,经济学
神经决策学,integratedWith,心理学
神经决策学,integratedWith,数学
有限理性,explainedBy,双系统模型
启发式系统,relatedTo,直觉决策
分析系统,relatedTo,理性决策
帕斯卡,proposed,决策问题
无限理性假说,challengedBy,有限理性理论
利益最大化,isPrincipleOf,无限理性假说
认知能力限制,causes,有限理性
客观条件限制,causes,有限理性
描述性决策模型,basedOn,实际决策行为
不公正感,triggers,非理性决策
神经决策学,emergedIn,21世纪
维布伦,stated,决策科学是生物学分支
弗农,advocated,神经技术探索决策
个体决策,hasNeuralBasis,大脑结构
预期理论,hasNeuralMechanism,特定脑区
社会决策,involves,公平公正信念
双前侧脑岛,activatedBy,不公正结果
前扣带皮层,activatedBy,拒绝行为
神经决策学,facesChallenge,复杂场景研究
神经决策学,shouldConsider,文化差异
中国决策研究,shouldFocusOn,本土特点
统一理论模型,needsIntegration,多学科知识
决策科学,isBranchOf,生物学
认知神经科学,changed,社会科学方法
神经管理学,emergedFrom,学科融合
神经经济学,emergedFrom,学科融合
决策过程,involves,风险评估
决策过程,involves,偏好形成
神经机制,studiedUsing,脑成像技术
确定性决策,associatedWith,特定脑区激活
模糊性决策,associatedWith,特定脑区激活
脑反射区,identifiedFor,决策概念
信任决策,studiedIn,神经决策学
拒绝行为,correlatesWith,前扣带皮层激活
神经决策学,requires,跨学科合作
复杂决策场景,understudiedIn,神经决策学
因素相互作用,neglectedIn,现有研究
传统社会学因素,overlookedIn,神经决策研究
神经决策学,shouldDevelop,本土化理论
行为决策特点,variesBy,文化背景
决策心理,influencedBy,历史因素
经济学,providesBasisFor,决策模型
统计学,providesToolFor,决策分析
认知神经科学,providesFoundationFor,神经决策学
数学,enables,精确决策建模
有限理性理论,won,诺贝尔经济学奖
不公正感,measuredIn,实验研究
金钱损失,acceptedIn,公正情境
金钱损失,rejectedIn,不公正情境
神经科学技术,reveals,大脑内在秩序
直觉系统,processes,快速决策
分析系统,processes,深思熟虑决策
神经决策学,aimsTo,建立综合理论
综合理论,requires,生理层面观测
综合理论,requires,数学精确描述
个体决策研究,advancedBy,神经科学方法
脑反射区定位,achievedThrough,成像技术
社会决策信念,hasNeuralBasis,特定脑区
前脑岛激活,predicts,拒绝倾向
神经决策学,needsMore,复杂情境研究
文化环境影响,criticalFor,决策理解
中国决策研究,shouldExplore,独特心理特征
多学科融合,essentialFor,理论发展
决策神经机制,studiedVia,ERP技术
决策神经机制,studiedVia,近红外成像
脑区激活模式,indicates,决策偏好
理性决策,associatedWith,前额叶皮层
情感决策,associatedWith,边缘系统
神经决策学,contributesTo,行为经济学
神经决策学,contributesTo,实验心理学
跨文化研究,neededIn,神经决策学
本土化模型,shouldDevelop,中国决策研究
统一框架,shouldIntegrate,多学科视角
张犁,affiliatedWith,西安体育学院
决策科学,isFundamental,人类认知
认知神经科学,transformed,社会科学方法
神经管理学,applies,神经科学方法
神经经济学,applies,神经科学方法
神经决策科学,applies,神经科学方法
有限理性,accountsFor,认知限制
后悔理论,explains,选择后情绪
最后通牒博弈,demonstrates,公平偏好
双系统模型,bridges,神经与决策科学
