start_node,relations,end_node
认知,isTypeOf,获得知识过程
认知,isTypeOf,应用知识过程
认知,basedOn,心理结构
认知,simulates,人脑信息加工
认知,involves,记忆活动
认知,involves,推理活动
认知,involves,判断活动
认知,involves,决策活动
普通心理学,defines,认知
认知科学,formedBy,哲学交叉
认知科学,formedBy,脑科学交叉
认知科学,formedBy,神经科学交叉
认知科学,formedBy,人工智能交叉
哲学家,views,所有人类活动为认知
亚里士多德,proposed,目的论
笛卡尔,proposed,预示论
洛克,proposed,观念论
哈特莱,proposed,实在论
休谟,proposed,实证论
康德,proposed,先验论
现代认知,basedOn,计算论
浩斯顿,categorized,信息处理过程
浩斯顿,categorized,心理符号运算
浩斯顿,categorized,问题求解
浩斯顿,categorized,思维
浩斯顿,categorized,知觉记忆活动
行为主义学派,usesMethod,客观实验
行为主义学派,usesMethod,行为方法
认知心理学,studies,信息加工观点
认知心理学,influencedBy,人工智能
脑科学,studies,认知能力生长机制
人工智能,studies,认知机制基础
执行功能,isTypeOf,脑控制系统
执行功能,hasComponent,组织思想
执行功能,hasComponent,安排任务优先次序
执行功能,hasComponent,规划
执行功能,hasComponent,决策
执行功能,developsIn,童年时期
执行功能,developsIn,青少年时期
认知控制,synonymFor,执行功能
执行功能,hasComponent,注意
执行功能,hasComponent,心理灵活性
执行功能,hasComponent,计划
执行功能,hasComponent,解决问题
执行功能,hasComponent,文字推理
执行功能,hasComponent,工作记忆
执行功能,hasComponent,任务切换能力
执行功能,evolvedFrom,现代心智
现代心智,relatedTo,前额皮层
前额皮层,isBasisFor,执行功能
菲尼斯·盖奇,demonstrated,额叶决策重要性
额叶受损,affects,决策能力
第一次世界大战士兵,studiedFor,额叶损伤影响
额叶受损,impairs,新任务掌握能力
执行功能,essentialFor,抽象高层次思维
鲁利亚,proposed,额叶编程功能
鲁利亚,proposed,额叶监督功能
鲁利亚,proposed,额叶调节功能
监督注意系统模型,basedOn,鲁利亚观点
监督注意系统模型,hasComponent,常规场景处理
监督注意系统模型,hasComponent,非常规情境处理
前额皮层,supervises,注意系统
前额皮层,supervises,记忆系统
前额皮层,supervises,情绪系统
前额皮层,supervises,运动系统
前额皮层,establishes,感觉输入映射
前额皮层,establishes,内部状态映射
前额皮层,establishes,动作输出映射
前额皮层,amplifies,神经通路活动
人工智能,influencedBy,神经科学
人工智能,influencedBy,心理学
神经科学,provides,算法灵感
神经科学,validates,人工智能技术
类脑计算,simulates,大脑机制
人工智能,appliedIn,通用智能系统
ChatGPT,isTypeOf,通用人工智能雏形
强人工智能,requires,神经科学基础
脑科学,usesMethod,生物解剖
脑科学,usesMethod,电生理信号采集
脑科学,usesMethod,光遗传技术
脑科学,usesMethod,功能影像分析
CT设备,enables,脑神经元观察
神经元,contributesTo,高智能发展
人工智能,clarifies,模糊神经概念
记忆,studiedBy,脑科学
想象力,studiedBy,脑科学
智能,definedAs,自然智能
智能,definedAs,人类智力
微观层面,studies,生物神经元差异
介观层面,studies,脑区连接模式
宏观层面,studies,脑区协同
强化学习,inspiredBy,哺乳动物脑
长时记忆,implementedIn,生物脑
短时记忆,implementedIn,生物脑
哈比乌斯,believes,神经科学基础
通用人工智能,modeledOn,人脑
人工智能,simulates,脑智能特征
机器强化学习,inspiredBy,人脑强化学习
类脑计算,basedOn,脑结构模拟
人工智能,facesChallenge,理解脑运行机理
通用人工智能,requires,脑身体环境互动
机器智能系统,shouldEvolve,适应环境
人工智能,needsBreakthrough,认知层面
类脑计算,promotes,智能进化
神经科学,inspires,新算法架构
人工智能,complements,数学逻辑方法
未来研究,shouldIntegrate,多尺度机制
认知障碍,studiedFor,康复应用
强人工智能,dependsOn,脑学习机制
19世纪中叶,hasEvent,菲尼斯·盖奇意外
20世纪60年代,hasEvent,鲁利亚提出模型
2001年,hasEvent,竞争过程模型出现
人工智能发展初期,characterizedBy,跨领域先驱
认知科学实验,conductedUsing,脑成像技术
额叶损伤研究,basedOn,战争案例
新技术,enables,脑机制革命性理解
盲人摸象状态,describedFor,早期AI研究
多尺度研究,appliedIn,脑结构分析
认知控制模型,developedIn,现代心理学
