name:ID,type
产生动作指令,CognitiveControl
反应抑制,CognitiveControl
情绪调节,CognitiveControl
情绪调节能力,CognitiveControl
控制系统,CognitiveControl
控制论,CognitiveControl
控制论视角,CognitiveControl
控制过程,CognitiveControl
控制阶段,CognitiveControl
智能控制技术,CognitiveControl
自我控制,CognitiveControl
行动控制,CognitiveControl
认知控制,CognitiveControl
认知控制机制,CognitiveControl
认知控制模型,CognitiveControl
额叶决策重要性,CognitiveControl
额叶监督功能,CognitiveControl
额叶编程功能,CognitiveControl
20世纪中期,CognitiveControl
N400振幅,CognitiveControl
三次,CognitiveControl
不公正情境,CognitiveControl
临时数据,CognitiveControl
交通信号灯预警,CognitiveControl
人与机器智能,CognitiveControl
价值对齐,CognitiveControl
低阶能力,CognitiveControl
信息重构,CognitiveControl
修正规则,CognitiveControl
元认知觉察,CognitiveControl
共引分析,CognitiveControl
决定论语境,CognitiveControl
功能簇形成,CognitiveControl
动觉通道,CognitiveControl
参与式设计,CognitiveControl
发文量爆发性增长,CognitiveControl
右侧颞颞顶联合区,CognitiveControl
哲学澄清术语,CognitiveControl
基础脑功能,CognitiveControl
学习和教育,CognitiveControl
学习建构,CognitiveControl
学科融合,CognitiveControl
实践环境,CognitiveControl
客体属性,CognitiveControl
布里格斯(Ronald Briggs),CognitiveControl
建构主义原则,CognitiveControl
形式规则,CognitiveControl
恶意操控,CognitiveControl
情感计算,CognitiveControl
情感识别模型,CognitiveControl
意识统一性,CognitiveControl
感受特质,CognitiveControl
批判性思维,CognitiveControl
技术集成,CognitiveControl
指代消解,CognitiveControl
控制单元,CognitiveControl
政策规范,CognitiveControl
教学提质增效,CognitiveControl
时间维度分析,CognitiveControl
智能座舱交互设计课程,CognitiveControl
智能机器,CognitiveControl
本质属性,CognitiveControl
术语澄清,CognitiveControl
机器人学,CognitiveControl
江怡,CognitiveControl
沃尔特·皮茨,CognitiveControl
注视时间,CognitiveControl
海马结构,CognitiveControl
演绎阶段,CognitiveControl
物理符号系统假设,CognitiveControl
特有变量,CognitiveControl
环境互动,CognitiveControl
环境刺激,CognitiveControl
用户偏好认知,CognitiveControl
眼动追踪,CognitiveControl
瞳孔朝向分析,CognitiveControl
知识有效性,CognitiveControl
社会因素,CognitiveControl
神经决策研究,CognitiveControl
神经术语,CognitiveControl
神经重塑,CognitiveControl
符号主义,CognitiveControl
符号处理,CognitiveControl
算法歧视,CognitiveControl
精准推荐,CognitiveControl
组块,CognitiveControl
经颅磁刺激,CognitiveControl
考核依据,CognitiveControl
脑与认知科学国家重点实验室,CognitiveControl
色盲,CognitiveControl
计算原理,CognitiveControl
认知多样性,CognitiveControl
认知实验,CognitiveControl
认知活动的脑机制,CognitiveControl
认知转变,CognitiveControl
认识论框架,CognitiveControl
语境框架,CognitiveControl
语言习得,CognitiveControl
语言学理论,CognitiveControl
语言线性化,CognitiveControl
责任制,CognitiveControl
身体经验,CognitiveControl
迭代计算,CognitiveControl
逻辑信息,CognitiveControl
道义论,CognitiveControl
郭思嘉,CognitiveControl
阶段序列,CognitiveControl
隐马尔科夫模型,CognitiveControl
驾驶员认知,CognitiveControl
骨相学,CognitiveControl
高级认知,CognitiveControl
高观点采用倾向,CognitiveControl
