name:ID,type
AI理论,ConnectionistModel
CZ,ConnectionistModel
V1区,ConnectionistModel
不公平情境操纵,ConnectionistModel
不公正感,ConnectionistModel
不确定性,ConnectionistModel
交叉边缘学科,ConnectionistModel
人工智能创作,ConnectionistModel
人工现象,ConnectionistModel
人脑,ConnectionistModel
伦理准则设计,ConnectionistModel
伦理学,ConnectionistModel
伦理挑战,ConnectionistModel
信息储存,ConnectionistModel
决策序列,ConnectionistModel
分析方法融合,ConnectionistModel
功能模块,ConnectionistModel
加扎尼加,ConnectionistModel
句法自治,ConnectionistModel
听觉区域,ConnectionistModel
命题群,ConnectionistModel
唯我论方法,ConnectionistModel
图论方法,ConnectionistModel
在线文本交流,ConnectionistModel
处理单元,ConnectionistModel
多学科挑战,ConnectionistModel
大模型,ConnectionistModel
奈瑟尔(Ulric Neisser),ConnectionistModel
奖赏,ConnectionistModel
奖赏反应,ConnectionistModel
学习成效,ConnectionistModel
实验证据,ConnectionistModel
客观实验,ConnectionistModel
对生成学派的反动,ConnectionistModel
并行分布式能力,ConnectionistModel
并行方式,ConnectionistModel
建构主义学习,ConnectionistModel
归因理论,ConnectionistModel
心智的体验性,ConnectionistModel
情绪性刺激,ConnectionistModel
意识内容,ConnectionistModel
意识实验,ConnectionistModel
意识神经相关物,ConnectionistModel
感知优势,ConnectionistModel
托诺尼,ConnectionistModel
抽象特征,ConnectionistModel
控制滞后,ConnectionistModel
控制算法,ConnectionistModel
教育研究,ConnectionistModel
数字材料,ConnectionistModel
新驾驶员训练,ConnectionistModel
智能环境,ConnectionistModel
智能生成机制,ConnectionistModel
本土特点,ConnectionistModel
机器学习框架,ConnectionistModel
机器道德,ConnectionistModel
概念系统,ConnectionistModel
模型参数,ConnectionistModel
模型评估,ConnectionistModel
模式识别,ConnectionistModel
海德,ConnectionistModel
消除主体性,ConnectionistModel
王清任,ConnectionistModel
环境刺激信号,ConnectionistModel
瞳孔扩张,ConnectionistModel
知识科学,ConnectionistModel
知识表征,ConnectionistModel
确定性决策,ConnectionistModel
神经生物学方法,ConnectionistModel
神经组织电学属性,ConnectionistModel
离身认知科学,ConnectionistModel
程序性记忆,ConnectionistModel
程序正义,ConnectionistModel
算法偏见,ConnectionistModel
编码解码,ConnectionistModel
脑机制答案,ConnectionistModel
自主查阅,ConnectionistModel
自动化驱动型,ConnectionistModel
自然语言处理,ConnectionistModel
视觉注意路径,ConnectionistModel
视野形成,ConnectionistModel
计算主义,ConnectionistModel
认知大脑互动,ConnectionistModel
认知平衡机制,ConnectionistModel
认知消耗,ConnectionistModel
语义关系整合,ConnectionistModel
语言功能,ConnectionistModel
谓词短语,ConnectionistModel
错觉结合实验,ConnectionistModel
镜像神经元,ConnectionistModel
隐匿黑箱,ConnectionistModel
非常识机制,ConnectionistModel
面向驾驶员控制,ConnectionistModel
顿悟体验,ConnectionistModel
飞行器座舱,ConnectionistModel
马尔可夫链,ConnectionistModel
驾驶员中心设计,ConnectionistModel
高智能发展,ConnectionistModel
