name:ID,type
情绪状态,Consciousness
自我,Consciousness
自我意识,Consciousness
自我精神认识,Consciousness
自我觉知,Consciousness
BT符号,Consciousness
LSTM结构,Consciousness
Treisman,Consciousness
中长期计划行为,Consciousness
事实信息,Consciousness
亚里士多德,Consciousness
人本设计,Consciousness
人机共生,Consciousness
人类智能处理建模,Consciousness
伦理教育,Consciousness
信息加工数量,Consciousness
公正情境,Consciousness
六心智模型,Consciousness
决策疲劳,Consciousness
分子神经生物学,Consciousness
分支学科,Consciousness
功能恢复,Consciousness
动作打断,Consciousness
动态系统,Consciousness
句法,Consciousness
听觉皮层,Consciousness
启发式算法,Consciousness
团队协作,Consciousness
塞尔中国屋实验,Consciousness
多模态数据,Consciousness
大脑结构影射,Consciousness
学习主体,Consciousness
学习投入,Consciousness
学科前沿,Consciousness
完形转换实验,Consciousness
宏观层面,Consciousness
实验范式,Consciousness
对西方思想的挑战,Consciousness
对话式认知,Consciousness
左侧额下回眶部,Consciousness
康复训练,Consciousness
形式关联,Consciousness
心智社会,Consciousness
恒河猴实验,Consciousness
情景记忆,Consciousness
意向性,Consciousness
意识时序性,Consciousness
感知智能,Consciousness
感知经验,Consciousness
成功概率,Consciousness
技术危险,Consciousness
抽象高层次思维,Consciousness
损失曲线,Consciousness
探索智力和智能本质,Consciousness
方法论体系,Consciousness
时间组织单元,Consciousness
智能家居,Consciousness
有意识回忆,Consciousness
有限理性理论,Consciousness
机器智能系统,Consciousness
查莫斯,Consciousness
模式转换,Consciousness
沃维克,Consciousness
法律决策挑战,Consciousness
注意变化,Consciousness
注意广度,Consciousness
物体同一性,Consciousness
特有方法论发展,Consciousness
理解脑运行机理,Consciousness
用户调研,Consciousness
社会认知定义,Consciousness
神经机制,Consciousness
科学模型,Consciousness
科学突破,Consciousness
竞争过程模型出现,Consciousness
米勒,Consciousness
类人化,Consciousness
细胞层次实现认知,Consciousness
罗伯特·斯坦顿,Consciousness
联结主义学说,Consciousness
能力跃迁,Consciousness
自主语言观,Consciousness
自学习自表达,Consciousness
自然主义,Consciousness
范式统一难题,Consciousness
表征,Consciousness
视觉注意模式,Consciousness
计算理论,Consciousness
认知即生成,Consciousness
认知基本单元本质,Consciousness
认知建模,Consciousness
认知脑区,Consciousness
训练数据,Consciousness
记忆实验,Consciousness
评价阶段,Consciousness
词重要性,Consciousness
语境限定,Consciousness
谨慎态度,Consciousness
贝叶斯网络,Consciousness
跨学科方法,Consciousness
轻度认知功能损害,Consciousness
较高级的官能,Consciousness
输入因素不可见性,Consciousness
透明度,Consciousness
速度偏离预警,Consciousness
阅读文化发展,Consciousness
