name:ID,type
深层次学习,DeepLearning
深度学习,DeepLearning
20世纪60年代,DeepLearning
AR,DeepLearning
P.布洛克,DeepLearning
tDCS技术,DeepLearning
丘脑皮层兴奋,DeepLearning
习惯性大脑,DeepLearning
事故认知,DeepLearning
二元逻辑,DeepLearning
人机交互,DeepLearning
人类心灵概念,DeepLearning
人脑信息加工,DeepLearning
价值体系,DeepLearning
体验哲学,DeepLearning
佩茨,DeepLearning
信息抽象,DeepLearning
信息科学贡献,DeepLearning
先进技术,DeepLearning
创新想法生成,DeepLearning
前额叶IBS,DeepLearning
功能簇,DeepLearning
动作输出映射,DeepLearning
发文量稳步增长,DeepLearning
可视化知识图谱,DeepLearning
可解释人工智能,DeepLearning
哲学思考,DeepLearning
图像音频,DeepLearning
图灵机模型,DeepLearning
在线决策,DeepLearning
声音模式分析,DeepLearning
复杂系统设计能力,DeepLearning
多巴胺,DeepLearning
姜虹,DeepLearning
学生偏好,DeepLearning
实体范畴,DeepLearning
实现人类认知功能机器,DeepLearning
建立自行解决复杂问题的计算系统,DeepLearning
当前研究,DeepLearning
影像学证据,DeepLearning
心智能力,DeepLearning
心脑关系,DeepLearning
思维的隐喻性,DeepLearning
情感识别,DeepLearning
意图识别,DeepLearning
感受特质变化,DeepLearning
批判性思考,DeepLearning
数学描述,DeepLearning
数据库技术,DeepLearning
数据矩阵,DeepLearning
时间组织,DeepLearning
普遍联系,DeepLearning
智能进化,DeepLearning
有意识事件编码,DeepLearning
概念图,DeepLearning
注意,DeepLearning
海马体机制,DeepLearning
混合进路,DeepLearning
混淆矩阵,DeepLearning
物理系统,DeepLearning
生物学约束,DeepLearning
相关信息,DeepLearning
知识目标,DeepLearning
研究隔膜,DeepLearning
社会变革,DeepLearning
神经元图,DeepLearning
神经磁场,DeepLearning
神经管理学,DeepLearning
章节4,DeepLearning
符号处理学说,DeepLearning
第一次世界大战士兵,DeepLearning
算法黑箱类型,DeepLearning
篇际性,DeepLearning
系统反馈,DeepLearning
缓解交通压力,DeepLearning
网络互联,DeepLearning
自主决策,DeepLearning
自学习机制,DeepLearning
融贯论,DeepLearning
解释能力,DeepLearning
认知功能,DeepLearning
认知加工,DeepLearning
认知机制,DeepLearning
认知科学家,DeepLearning
设计迭代,DeepLearning
词汇凝聚力,DeepLearning
词频分析,DeepLearning
诞生初期(1979-1990),DeepLearning
课堂内部分,DeepLearning
资源分配,DeepLearning
车辆驾驶经验,DeepLearning
输出因素不可控性,DeepLearning
近红外脑成像,DeepLearning
逻辑主体,DeepLearning
逻辑性,DeepLearning
量化方案,DeepLearning
长期增效,DeepLearning
问题解决,DeepLearning
集体智能,DeepLearning
领域规律,DeepLearning
高阶过程,DeepLearning
鲁利亚提出模型,DeepLearning
