name:ID,type
20世纪后期,ExecutiveFunction
CWA研究,ExecutiveFunction
N400,ExecutiveFunction
PGAS原语,ExecutiveFunction
R.格拉尼特,ExecutiveFunction
SSH假说,ExecutiveFunction
VR,ExecutiveFunction
《认知科学》杂志,ExecutiveFunction
个体群体,ExecutiveFunction
中医脑科学,ExecutiveFunction
中国屋思想实验,ExecutiveFunction
中控屏原型,ExecutiveFunction
人类多感官,ExecutiveFunction
以人为本理念,ExecutiveFunction
任务需求,ExecutiveFunction
低层次分析,ExecutiveFunction
全脑层次认知组件,ExecutiveFunction
内化单元,ExecutiveFunction
内在真值,ExecutiveFunction
决策制定,ExecutiveFunction
创造性策略,ExecutiveFunction
图像表征,ExecutiveFunction
复杂过程,ExecutiveFunction
多模态感知系统,ExecutiveFunction
学习兴趣,ExecutiveFunction
学生展示,ExecutiveFunction
建构主义学习理论,ExecutiveFunction
微观结构,ExecutiveFunction
推荐系统,ExecutiveFunction
数学动力系统,ExecutiveFunction
文档,ExecutiveFunction
新技术,ExecutiveFunction
早期AI研究,ExecutiveFunction
最优规则,ExecutiveFunction
有意识编码,ExecutiveFunction
未来方向,ExecutiveFunction
本体论承诺,ExecutiveFunction
机器意识,ExecutiveFunction
李德毅,ExecutiveFunction
林克里德,ExecutiveFunction
概念,ExecutiveFunction
概念分析,ExecutiveFunction
正电子发射断层扫描研究,ExecutiveFunction
汽车座舱设计,ExecutiveFunction
注意力,ExecutiveFunction
注意吸引阶段,ExecutiveFunction
深层理解,ExecutiveFunction
深远影响,ExecutiveFunction
生存,ExecutiveFunction
生物学,ExecutiveFunction
生物认知,ExecutiveFunction
直线式学习策略,ExecutiveFunction
真值判断,ExecutiveFunction
知识可视化理论,ExecutiveFunction
研究主题,ExecutiveFunction
研究趋势,ExecutiveFunction
碳基生物体,ExecutiveFunction
社会智能互动,ExecutiveFunction
社会认知理论,ExecutiveFunction
神经异常,ExecutiveFunction
神经语言学,ExecutiveFunction
科学方法,ExecutiveFunction
科学权威,ExecutiveFunction
空间认知缺陷,ExecutiveFunction
策略优化,ExecutiveFunction
算法信任,ExecutiveFunction
精神物质关系,ExecutiveFunction
经济学,ExecutiveFunction
结构耦合,ExecutiveFunction
统一框架,ExecutiveFunction
统一模型,ExecutiveFunction
综合性调节,ExecutiveFunction
老年认知变化,ExecutiveFunction
考核评价,ExecutiveFunction
脑学习机制,ExecutiveFunction
自适应自繁殖,ExecutiveFunction
行为和脑科学,ExecutiveFunction
行为理解优化,ExecutiveFunction
表示方法,ExecutiveFunction
规划,ExecutiveFunction
规则归纳,ExecutiveFunction
规模教育,ExecutiveFunction
认知变量,ExecutiveFunction
认知地图,ExecutiveFunction
认知科学学会年会,ExecutiveFunction
认知科学开放实验室,ExecutiveFunction
认知训练,ExecutiveFunction
认知过滤机制,ExecutiveFunction
训练样本,ExecutiveFunction
记忆塑造,ExecutiveFunction
识别能力,ExecutiveFunction
语义鸿沟,ExecutiveFunction
超人工智能,ExecutiveFunction
跨学科合作,ExecutiveFunction
跨学科研究,ExecutiveFunction
跨文化研究,ExecutiveFunction
通讯信息技术,ExecutiveFunction
逻辑推理,ExecutiveFunction
金钱损失,ExecutiveFunction
阈值调整,ExecutiveFunction
阿西莫夫,ExecutiveFunction
霍斯顿,ExecutiveFunction
静态性,ExecutiveFunction
高级知觉解释,ExecutiveFunction
高脑间同步性,ExecutiveFunction
高阶推理,ExecutiveFunction
