name:ID,type
AI助手,EyeTracking
AI艺术,EyeTracking
P.M.丘奇兰德,EyeTracking
人工认知实现,EyeTracking
人工适应性表征,EyeTracking
人机共创,EyeTracking
信息价值,EyeTracking
假设形成,EyeTracking
儿童认知发展阶段,EyeTracking
关联推理,EyeTracking
初级视觉皮层(V1),EyeTracking
前扣带皮层激活,EyeTracking
前脑岛激活,EyeTracking
动态不确定性,EyeTracking
图神经网络,EyeTracking
在线学习,EyeTracking
塞尔,EyeTracking
复合型人才培养,EyeTracking
复杂人机系统,EyeTracking
外在真值,EyeTracking
多次迭代,EyeTracking
大脑内在秩序,EyeTracking
学习效果,EyeTracking
德雷福斯批评,EyeTracking
意义形成,EyeTracking
意识加工,EyeTracking
意象图式,EyeTracking
技术科学,EyeTracking
拒绝倾向,EyeTracking
持续训练,EyeTracking
控制理论,EyeTracking
效用函数,EyeTracking
教学方法,EyeTracking
数学逻辑,EyeTracking
整体成像概念,EyeTracking
方法论有效性,EyeTracking
时空事件,EyeTracking
智能汽车,EyeTracking
桂诗春,EyeTracking
概念整合,EyeTracking
注意力分散,EyeTracking
注意力机制,EyeTracking
测试结果分析,EyeTracking
物质精神关系,EyeTracking
特定脑区激活,EyeTracking
现实世界,EyeTracking
理解能力,EyeTracking
生成语言学,EyeTracking
生物技术,EyeTracking
生物神经元差异,EyeTracking
疾病机制研究,EyeTracking
知识加工,EyeTracking
知识图谱构建,EyeTracking
硅基物理装置,EyeTracking
神经元联系调整,EyeTracking
科学艺术哲学,EyeTracking
立体镜,EyeTracking
符号化表达,EyeTracking
算法黑箱研究,EyeTracking
系统敏感性,EyeTracking
脏躁治疗,EyeTracking
脑氧合,EyeTracking
脑结构,EyeTracking
自动学习,EyeTracking
融通思维情感,EyeTracking
血清素,EyeTracking
认知偏差,EyeTracking
认知加工过程,EyeTracking
认知地图实验,EyeTracking
认知层面,EyeTracking
认知智能发展,EyeTracking
认知特征,EyeTracking
认知转向,EyeTracking
识别聚焦阶段,EyeTracking
语境切换,EyeTracking
跨学科理解,EyeTracking
钝化陈述,EyeTracking
长期规则,EyeTracking
韦尼克区,EyeTracking
预减速动作,EyeTracking
预训练模型,EyeTracking
驾驶员输入输出,EyeTracking
