name:ID,type
C·高尔基,Intelligence
E-prime软件,Intelligence
NCC定位,Intelligence
O1,Intelligence
Sigmoid函数,Intelligence
《认知科学》期刊,Intelligence
两可图呈现,Intelligence
个性化学习,Intelligence
人工神经网络,Intelligence
人类学习,Intelligence
人类物种,Intelligence
任务导向,Intelligence
传统AI,Intelligence
信任度度量,Intelligence
决策神经机制研究,Intelligence
分子层次认知组件,Intelligence
创造力研究发展,Intelligence
功能可塑,Intelligence
南纳利(Jum Clarence Nunnally),Intelligence
受控过程,Intelligence
可接受性,Intelligence
可视化,Intelligence
可视化设计,Intelligence
哈特莱,Intelligence
哈里斯,Intelligence
复杂任务,Intelligence
多尺度机制,Intelligence
大脑之谜,Intelligence
学习材料,Intelligence
实验研究,Intelligence
宽松标准,Intelligence
对话交互,Intelligence
建模任务,Intelligence
强化学习,Intelligence
形式学科,Intelligence
思维,Intelligence
成像发展,Intelligence
教学实效,Intelligence
斯隆基金,Intelligence
无序性,Intelligence
智能类别,Intelligence
未来研究,Intelligence
概念集合,Intelligence
模拟人类认知功能的计算原理,Intelligence
正向认知功能,Intelligence
沃伦·麦克洛,Intelligence
爱因斯坦,Intelligence
理解难度,Intelligence
盖尔,Intelligence
目标计划,Intelligence
相关性认知,Intelligence
相对论,Intelligence
真实驾驶环境,Intelligence
眨眼频率,Intelligence
社会动机多样性组,Intelligence
社会化阅读,Intelligence
社会阻抑作用,Intelligence
神经心理学原理,Intelligence
科技水平,Intelligence
空间信息,Intelligence
符号表征优化,Intelligence
算法归位,Intelligence
类脑计算,Intelligence
线控系统,Intelligence
组织思想,Intelligence
经验论,Intelligence
翻转课堂,Intelligence
脑反射区定位,Intelligence
脑神经元观察,Intelligence
自组织演化,Intelligence
节奏感知机制,Intelligence
获得知识过程,Intelligence
行为主义,Intelligence
行为主义学派,Intelligence
表征危机,Intelligence
表征和计算,Intelligence
表征符号,Intelligence
袁毓林,Intelligence
视觉皮质分区,Intelligence
视觉警告,Intelligence
视觉通路,Intelligence
视觉通道,Intelligence
解释过度要求,Intelligence
计算机建模,Intelligence
认知发展阶段理论,Intelligence
认知研究,Intelligence
认知科学发展规律,Intelligence
认知科学演进规律,Intelligence
认知过程,Intelligence
认知进化,Intelligence
讨论,Intelligence
设计集群,Intelligence
评估标准计算,Intelligence
语义成分,Intelligence
起点到目标,Intelligence
转换生成语法,Intelligence
进化生物学,Intelligence
问卷调研,Intelligence
问答环节,Intelligence
项目实操,Intelligence
预减速,Intelligence
驾驶员意图,Intelligence
鲁棒性,Intelligence
