name:ID,type
李时珍,Knowledge
结构化知识,Knowledge
40年经验,Knowledge
AI影响,Knowledge
Lakoff,Knowledge
O2,Knowledge
Scienceimage软件,Knowledge
Web of Science,Knowledge
世界,Knowledge
主观能动性,Knowledge
事件核心,Knowledge
人类独特性,Knowledge
人类行为,Knowledge
人脑强化学习,Knowledge
价值函数,Knowledge
会聚技术,Knowledge
伦理学探讨,Knowledge
公平信念,Knowledge
公平公正信念,Knowledge
六大学科,Knowledge
决策-动作建模,Knowledge
决策-动作过程,Knowledge
决策委托,Knowledge
创新人才解释,Knowledge
创造性思维调节,Knowledge
初级视觉,Knowledge
功能倾向性,Knowledge
动态导航,Knowledge
动态核,Knowledge
化学传达,Knowledge
历史事件,Knowledge
基因表达编程,Knowledge
基础科学,Knowledge
复杂系统集群,Knowledge
外部输入,Knowledge
多感官参与,Knowledge
多感官输入,Knowledge
学习,Knowledge
学习建构阶段,Knowledge
学科分支,Knowledge
学科未来,Knowledge
实地调研,Knowledge
实践效果,Knowledge
小组PPT汇报,Knowledge
弗洛伊德,Knowledge
形成意象的能力,Knowledge
循环神经网络,Knowledge
情绪系统,Knowledge
抽象概念化,Knowledge
拉考夫,Knowledge
推理启动,Knowledge
推理活动,Knowledge
揭示智能本质,Knowledge
智慧城市,Knowledge
智能代理,Knowledge
机器人设计,Knowledge
机器学习方法,Knowledge
模型能力,Knowledge
活动可视化,Knowledge
海量数据,Knowledge
点击倾向,Knowledge
物理逻辑,Knowledge
特征自动学习,Knowledge
王永炎,Knowledge
王琦,Knowledge
环境耦合,Knowledge
现象学,Knowledge
理论创立,Knowledge
电子科技大学新生项目课程,Knowledge
眼跳时间,Knowledge
知识发展,Knowledge
短期记忆,Knowledge
研究方法,Knowledge
研究进路,Knowledge
社会动机多样性,Knowledge
社会文化环境,Knowledge
神经元变化,Knowledge
神经元网络,Knowledge
神经可塑性原理,Knowledge
神经活动,Knowledge
空间位置,Knowledge
经验数据,Knowledge
经验陈述,Knowledge
统一整合,Knowledge
绪论,Knowledge
脑成像技术,Knowledge
菲尼斯·盖奇意外,Knowledge
蝴蝶效应,Knowledge
行为改变,Knowledge
表征本质,Knowledge
西安交通大学,Knowledge
视频监控精度,Knowledge
计算参数,Knowledge
认知地图类型,Knowledge
认知实验范式,Knowledge
认知序列,Knowledge
认知科学研究,Knowledge
认知评估,Knowledge
语言,Knowledge
跨学科视角,Knowledge
车辆动力学,Knowledge
量化自我,Knowledge
项目,Knowledge
驾驶安全性,Knowledge
高客观性,Knowledge
高生态效度研究,Knowledge
黄福荣团队,Knowledge
