name:ID,type
ChatGPT,KnowledgeGraph
Miller,KnowledgeGraph
Tzeltal分类,KnowledgeGraph
《社会认知》,KnowledgeGraph
丘奇兰德,KnowledgeGraph
个体决策研究,KnowledgeGraph
主体性,KnowledgeGraph
人机合一认知,KnowledgeGraph
人类控制,KnowledgeGraph
人类理性,KnowledgeGraph
人类间接责任,KnowledgeGraph
伊丽莎白·阿森,KnowledgeGraph
假设真值,KnowledgeGraph
元认知,KnowledgeGraph
全局上下文,KnowledgeGraph
全程合作,KnowledgeGraph
决策依据,KnowledgeGraph
决策概念,KnowledgeGraph
分子遗传学控制,KnowledgeGraph
创造力表现,KnowledgeGraph
功能定位,KnowledgeGraph
华南师范大学,KnowledgeGraph
双目竞争,KnowledgeGraph
变化检测,KnowledgeGraph
右侧额中回,KnowledgeGraph
同步振荡假说,KnowledgeGraph
哲学解释,KnowledgeGraph
在线调整能力,KnowledgeGraph
基础问题,KnowledgeGraph
多任务处理,KnowledgeGraph
多维数据,KnowledgeGraph
学生水平,KnowledgeGraph
学科分化,KnowledgeGraph
安排任务优先次序,KnowledgeGraph
实验方案,KnowledgeGraph
对抗生成,KnowledgeGraph
帕斯卡,KnowledgeGraph
干件系统,KnowledgeGraph
平均瞳孔直径,KnowledgeGraph
平衡机制,KnowledgeGraph
建立新型智能系统计算理论,KnowledgeGraph
形式化表达,KnowledgeGraph
心智结构,KnowledgeGraph
心智运算,KnowledgeGraph
心理学实验,KnowledgeGraph
快速思考,KnowledgeGraph
情绪研究,KnowledgeGraph
意识系统,KnowledgeGraph
感觉,KnowledgeGraph
成像哲学,KnowledgeGraph
报警按钮显著性,KnowledgeGraph
揭示内部机制,KnowledgeGraph
政策支持,KnowledgeGraph
整体功能态,KnowledgeGraph
新认识论,KnowledgeGraph
显微镜,KnowledgeGraph
智能交通,KnowledgeGraph
智能座舱交互,KnowledgeGraph
服装情感设计,KnowledgeGraph
机器视觉技术,KnowledgeGraph
材料特性,KnowledgeGraph
框架语义,KnowledgeGraph
梅洛-庞蒂,KnowledgeGraph
概念二元论,KnowledgeGraph
概念性知识,KnowledgeGraph
概念系统多元性,KnowledgeGraph
注意吸引,KnowledgeGraph
海马区,KnowledgeGraph
深度思考,KnowledgeGraph
理性行为主义,KnowledgeGraph
真命题,KnowledgeGraph
眼动追踪实验,KnowledgeGraph
瞳孔反应,KnowledgeGraph
知识变换器,KnowledgeGraph
知识类型,KnowledgeGraph
短语线性化,KnowledgeGraph
神经响应,KnowledgeGraph
神经病理学,KnowledgeGraph
神经科学研究,KnowledgeGraph
神经表达证据,KnowledgeGraph
神经解剖学,KnowledgeGraph
神经认知信号,KnowledgeGraph
科技部科技创新2030项目,KnowledgeGraph
算法黑箱,KnowledgeGraph
背景测试,KnowledgeGraph
能力提升,KnowledgeGraph
脑干运动细胞核,KnowledgeGraph
自上而下进路,KnowledgeGraph
莱考夫,KnowledgeGraph
菲尔墨,KnowledgeGraph
蔡曙山,KnowledgeGraph
行为实验,KnowledgeGraph
行为方法,KnowledgeGraph
行为金融学,KnowledgeGraph
表征学习,KnowledgeGraph
规则调整,KnowledgeGraph
视网膜电图,KnowledgeGraph
解决问题,KnowledgeGraph
认知主义本质,KnowledgeGraph
认知伦理,KnowledgeGraph
认知功效,KnowledgeGraph
认知学习理论,KnowledgeGraph
记忆损伤,KnowledgeGraph
语境化表征,KnowledgeGraph
语用分析,KnowledgeGraph
语言处理模型,KnowledgeGraph
语言大模型,KnowledgeGraph
语言系统,KnowledgeGraph
输出相似性,KnowledgeGraph
通信功能,KnowledgeGraph
邻接矩阵,KnowledgeGraph
阿普尔亚德(Donald Appleyard),KnowledgeGraph
驾驶员行为建模,KnowledgeGraph
高N400振幅,KnowledgeGraph
高尔基,KnowledgeGraph
