name:ID,type
1975,MEG
AI实践水平,MEG
AI评价者,MEG
Alpha信度系数,MEG
Bengio团队,MEG
LSP振幅,MEG
P300,MEG
P3成分,MEG
Transformer,MEG
k-means聚类,MEG
《认知科学的当代争论》,MEG
七维特征,MEG
不可接受风险,MEG
中央区,MEG
主动学习,MEG
交互设计课程,MEG
传统方法,MEG
伦理方向盘,MEG
信号变化,MEG
偏好形成,MEG
儿童认知发展,MEG
关系数据,MEG
决策主体,MEG
分子组件,MEG
创新性,MEG
初步调研,MEG
刺激法,MEG
前额叶皮层,MEG
功能磁共振成像,MEG
动力系统理论,MEG
单色设计,MEG
取消主义,MEG
听觉系统,MEG
哲学交叉,MEG
哲学视角,MEG
图结构,MEG
复杂场景,MEG
多维向量,MEG
大脑,MEG
奎连系统,MEG
学习深度,MEG
宏观结构理论,MEG
实验可检验性,MEG
工作记忆,MEG
当前AI,MEG
心智研究理论,MEG
心理现象,MEG
恶意创造行为研究,MEG
情感体验,MEG
情感共鸣,MEG
情绪反应,MEG
感觉经验,MEG
执行缺陷,MEG
掌握水平,MEG
提供方法依据,MEG
操作杆设备,MEG
新证据,MEG
普通用户,MEG
有意识的觉察,MEG
望远镜,MEG
本我,MEG
杂交与物种形成,MEG
根特纳,MEG
概念世界,MEG
法律应用,MEG
注意力区分,MEG
注意的特征整合理论,MEG
环境认知,MEG
环境认知研究,MEG
现象转换,MEG
生命系统,MEG
生成认知理论,MEG
盲视,MEG
瞳孔分析,MEG
知识分享,MEG
知识迁移,MEG
短期记忆研究,MEG
社会助长作用,MEG
神经通信,MEG
科学变量,MEG
空间关系,MEG
系统思维,MEG
素质目标,MEG
约翰逊,MEG
联想性策略,MEG
肖像式再现表象阶段,MEG
背侧通路,MEG
能动性,MEG
脑区激活,MEG
范式设计,MEG
虚拟团队,MEG
观点结合程度,MEG
解剖观察,MEG
认知互动,MEG
认知挑战,MEG
认知机制框架,MEG
认知模拟,MEG
认知正向功能,MEG
认知讨论,MEG
语篇连贯,MEG
语言生成,MEG
课程设计,MEG
跨物种理解,MEG
辅助驾驶,MEG
辩证态度,MEG
选择倾向,MEG
通信系统,MEG
钝化机制,MEG
错误普遍化,MEG
长期抑制,MEG
阅读处理,MEG
非局部神经回路,MEG
飞行驾驶操作杆,MEG
驾驶员疲劳预警,MEG
黑猩猩实验,MEG
