name:ID,type
G·M·Edehron,Neurolinguistics
NAT转换,Neurolinguistics
P-O-X模型,Neurolinguistics
PET,Neurolinguistics
tDCS刺激,Neurolinguistics
人工智能模型,Neurolinguistics
人类评价者,Neurolinguistics
伊迪丝·特拉格,Neurolinguistics
伦理冲突,Neurolinguistics
位置,Neurolinguistics
作者影响时序图,Neurolinguistics
全能信息系统,Neurolinguistics
全脑层次实现认知,Neurolinguistics
共享信念,Neurolinguistics
共情反应,Neurolinguistics
共情机制,Neurolinguistics
军事领域,Neurolinguistics
初步假设,Neurolinguistics
判断推理,Neurolinguistics
前人工智能时期,Neurolinguistics
加州大学圣迭戈分校,Neurolinguistics
单元相互作用,Neurolinguistics
图灵测试,Neurolinguistics
基本层次概念,Neurolinguistics
复杂性,Neurolinguistics
多任务,Neurolinguistics
大语言模型,Neurolinguistics
学习进度,Neurolinguistics
学术写作,Neurolinguistics
实时生成,Neurolinguistics
层级网络,Neurolinguistics
工具整合,Neurolinguistics
形式语言,Neurolinguistics
形状改变不变性,Neurolinguistics
情境性,Neurolinguistics
情感研究,Neurolinguistics
情绪加工,Neurolinguistics
意识产生,Neurolinguistics
意识度量,Neurolinguistics
推理器,Neurolinguistics
新假设,Neurolinguistics
无效消除,Neurolinguistics
有意识,Neurolinguistics
概念连接,Neurolinguistics
注意系统,Neurolinguistics
海德(Fritz Heider),Neurolinguistics
潜意识理论,Neurolinguistics
灵机记性在脑,Neurolinguistics
特征检测器,Neurolinguistics
环境感知能力,Neurolinguistics
理性飞跃,Neurolinguistics
理解认知功能,Neurolinguistics
皮亚杰,Neurolinguistics
皮质组织,Neurolinguistics
瞳孔直径,Neurolinguistics
知识更新,Neurolinguistics
碎片知识,Neurolinguistics
神经元理论,Neurolinguistics
神经权利,Neurolinguistics
科学计量学,Neurolinguistics
符号操作,Neurolinguistics
统一定义,Neurolinguistics
群体认知,Neurolinguistics
脑科学交叉,Neurolinguistics
脑调用机制,Neurolinguistics
脑间同步性,Neurolinguistics
表征主义,Neurolinguistics
观点新颖性,Neurolinguistics
解释歧义问题,Neurolinguistics
计算机系统决策,Neurolinguistics
计算机能力,Neurolinguistics
认知时代来到了,Neurolinguistics
认知的无意识性,Neurolinguistics
认知科学核心,Neurolinguistics
认知视角,Neurolinguistics
话语本质属性,Neurolinguistics
语义理解,Neurolinguistics
课程成果,Neurolinguistics
近红外成像,Neurolinguistics
道德判断,Neurolinguistics
顿悟成分检测,Neurolinguistics
预设合理性,Neurolinguistics
额极皮层,Neurolinguistics
魏屹东,Neurolinguistics
黑箱方法,Neurolinguistics
