name:ID,type
2006-2010阶段,PET
20世纪初期,PET
20世纪科学家,PET
ChatGPT应用,PET
SUS量表,PET
中国决策研究,PET
互动讨论,PET
产生,PET
人类大脑运行机制,PET
人类认知系统,PET
任务完成时间,PET
信息传递机制,PET
冲突解决,PET
决策合理性,PET
决策评估,PET
功能定位论,PET
原我,PET
同一不变性,PET
同质性质疑,PET
后续章节学习,PET
场景化规制,PET
基本单元探索,PET
大脑科学发展,PET
学习路径,PET
实时探针法,PET
局部解释弱,PET
心灵工作机制理解,PET
快速决策,PET
思想侵入程度,PET
思想实验,PET
意向表征,PET
意识层次,PET
感知记忆,PET
抽象描述,PET
拟适应性,PET
数据洞察,PET
数据统计分析,PET
数据降维,PET
文献数据源,PET
斯金纳,PET
早期克里克,PET
最优驾驶指令,PET
期末考核,PET
柔和动作,PET
框架模型,PET
概括性觉察,PET
汇报准备,PET
注意力引导,PET
测量工具可靠性,PET
独特思维立场,PET
现象语言,PET
理论完整性,PET
生成式学习策略,PET
用户体验实验室,PET
电生理信号采集,PET
疲劳恢复,PET
盲视现象,PET
知觉亚稳定性,PET
知识负载,PET
研究领域聚类,PET
破除功能,PET
神经元过滤,PET
神经科学基础,PET
神经脉冲,PET
类脑决策,PET
纸笔测验,PET
结合趋势,PET
统计推理,PET
网络技术,PET
脑电图,PET
自主认知,PET
自动化执法,PET
自组织神经网络,PET
艺术生成,PET
节奏感知,PET
范式创新,PET
观点伤害性,PET
规则执行,PET
规则操作,PET
视网膜投射,PET
视觉层流,PET
计算机系统思考,PET
认知工作分析,PET
认知本质,PET
认知科学总体概貌,PET
认知科学研究纲领,PET
认知空间,PET
认知能力生长机制,PET
认知路径,PET
认知需求,PET
语义同一性,PET
语言学发展,PET
谓词语义,PET
跨学科科学,PET
身体表征,PET
进化保守结构,PET
郑南宁,PET
长程依赖,PET
阐明脑机制,PET
非任意性,PET
非言语交流,PET
非隐喻性意义,PET
默认网络,PET
