name:ID,type
交际过程,Sociolinguistics
文化因素,Sociolinguistics
文化差异,Sociolinguistics
文化环境影响,Sociolinguistics
文化背景,Sociolinguistics
社会互动,Sociolinguistics
社会信念研究,Sociolinguistics
社会信息处理,Sociolinguistics
话语语言学,Sociolinguistics
AI性别刻板印象,Sociolinguistics
AI本质,Sociolinguistics
DCH假说,Sociolinguistics
L-R+刺激,Sociolinguistics
N400振幅变化,Sociolinguistics
ROC曲线,Sociolinguistics
Rose,Sociolinguistics
SmartingPro脑电仪,Sociolinguistics
《认知科学》杂志创刊,Sociolinguistics
《道德和认知科学》,Sociolinguistics
两可图,Sociolinguistics
中文屋论证,Sociolinguistics
事件演化,Sociolinguistics
互相测试,Sociolinguistics
互补互促,Sociolinguistics
交替知觉,Sociolinguistics
人工智能检测,Sociolinguistics
人类设计者,Sociolinguistics
任务切换能力,Sociolinguistics
先验哲学,Sociolinguistics
光照变化,Sociolinguistics
共性认识,Sociolinguistics
分析创造,Sociolinguistics
功能定位理论,Sociolinguistics
动力主义,Sociolinguistics
参数调优,Sociolinguistics
哲学,Sociolinguistics
噪音影响,Sociolinguistics
图案大小,Sociolinguistics
基于脑波音乐的神经反馈技术,Sociolinguistics
大脑的机理,Sociolinguistics
学习发展研究,Sociolinguistics
学习行为,Sociolinguistics
实在论,Sociolinguistics
实时捕捉,Sociolinguistics
实时路况,Sociolinguistics
实验被试,Sociolinguistics
左侧DLPFC,Sociolinguistics
弗朗茨·约瑟夫·盖尔,Sociolinguistics
当前经历,Sociolinguistics
德雷福斯,Sociolinguistics
心理健康,Sociolinguistics
心理理论,Sociolinguistics
心理结构,Sociolinguistics
快速定向,Sociolinguistics
思维导图,Sociolinguistics
思维认知,Sociolinguistics
思维跃迁,Sociolinguistics
情境信任,Sociolinguistics
意义生成,Sociolinguistics
意识,Sociolinguistics
意识基础,Sociolinguistics
意识活动,Sociolinguistics
感觉输入,Sociolinguistics
数据处理,Sociolinguistics
数据收集,Sociolinguistics
文明互鉴论,Sociolinguistics
新旧信息,Sociolinguistics
智能科学应用,Sociolinguistics
最佳匹配,Sociolinguistics
最佳解释,Sociolinguistics
机器学习,Sociolinguistics
正激活优势,Sociolinguistics
正电子发射断层扫描,Sociolinguistics
注意技能,Sociolinguistics
特征工程,Sociolinguistics
独立学科,Sociolinguistics
理想标准,Sociolinguistics
理论假说,Sociolinguistics
理论教学,Sociolinguistics
生命过程,Sociolinguistics
生理反应,Sociolinguistics
男性参与者,Sociolinguistics
直觉系统,Sociolinguistics
知识积累,Sociolinguistics
知识结构,Sociolinguistics
知识节点,Sociolinguistics
研发责任,Sociolinguistics
科学计量学方法,Sociolinguistics
符号范式局限,Sociolinguistics
细节展开,Sociolinguistics
脑区激活分析,Sociolinguistics
脑波音乐技术,Sociolinguistics
范畴化,Sociolinguistics
行动输出,Sociolinguistics
表征理论,Sociolinguistics
视觉信息处理,Sociolinguistics
角回,Sociolinguistics
计算建模,Sociolinguistics
认知主义,Sociolinguistics
认知健康,Sociolinguistics
认知机制基础,Sociolinguistics
认知能力衰退,Sociolinguistics
认知语言学,Sociolinguistics
记忆更新,Sociolinguistics
记忆活动,Sociolinguistics
话语建模,Sociolinguistics
语境论,Sociolinguistics
语境设置,Sociolinguistics
语言处理,Sociolinguistics
语言形成,Sociolinguistics
语言结构,Sociolinguistics
贝叶斯模型,Sociolinguistics
责任归属,Sociolinguistics
超我,Sociolinguistics
跨学科领域,Sociolinguistics
软件作用,Sociolinguistics
软硬件分离,Sociolinguistics
边界思考,Sociolinguistics
过滤属性,Sociolinguistics
逻辑关系,Sociolinguistics
错误概念形成,Sociolinguistics
隐层,Sociolinguistics
预警系统,Sociolinguistics
领域开辟,Sociolinguistics
领域知识,Sociolinguistics
额叶调节功能,Sociolinguistics
高强度惩罚,Sociolinguistics
高效交互,Sociolinguistics
